01/01 (수) # 설날.
07/10 (목) *
07/11 (금) *
07/12 (토) *
07/13 (일) *
07/14 (월) *
07/15 (화) *
07/16 (수) *
07/17 (목) 하계 계절학기 종강.
07/18 (금) *
07/19 (토) *
07/20 (일) *
07/21 (월) *
07/22 (화) *
07/23 (수) *
07/24 (목) *
07/25 (금) *
07/26 (토) *
07/27 (일) *
07/28 (월) *
07/29 (화) *
07/30 (수) *
07/31 (목) *
08/01 (금) *
08/02 (토) *
08/03 (일) *
08/04 (월) *
08/05 (화) 2학기 수강신청시작.
08/06 (수) *
08/07 (목) *
08/08 (금) 2학기 수강신청종료.
08/09 (토) *
08/10 (일) *
08/11 (월) *
08/12 (화) *
08/13 (수) *
08/14 (목) *
08/15 (금) # 광복절.
08/16 (토) *
08/17 (일) *
08/18 (월) *
08/19 (화) *
08/20 (수) *
08/21 (목) *
08/22 (금) *
08/23 (토) *
08/24 (일) *
08/25 (월) *
08/26 (화) *
08/27 (수) *
08/28 (목) *
08/29 (금) 하계방학 종료.
08/30 (토) *
08/31 (일) *
09/01 (월) 2학기 개강.
09/02 (화) *
09/03 (수) *
09/04 (목) *
09/05 (금) *
09/06 (토) *
09/07 (일) # 추석.
09/08 (월) # 추석.
09/09 (화) # 추석.
09/10 (수) # 추석대체연휴.
09/11 (목) *
09/12 (금) *
09/13 (토) *
09/14 (일) *
09/15 (월) *
09/16 (화) *
09/17 (수) *
09/18 (목) *
09/19 (금) *
09/20 (토) *
09/21 (일) *
09/22 (월) *
09/23 (화) *
09/24 (수) *
09/25 (목) *
09/26 (금) *
09/27 (토) *
09/28 (일) *
09/29 (월) *
09/30 (화) *
10/01 (수) *
10/02 (목) *
10/03 (금) # 개천절.
10/04 (토) *
10/05 (일) *
10/06 (월) *
10/07 (화) *
10/08 (수) 개척 대동제.
10/09 (목) # 한글날.
10/10 (금) 개척 대동제.
10/11 (토) *
10/12 (일) *
10/13 (월) *
10/14 (화) *
10/15 (수) *
10/16 (목) *
10/17 (금) *
10/18 (토) *
10/19 (일) *
10/20 (월) # 경상대학교 개교기념일.
10/21 (화) 2학기 중간 시험시작.
10/22 (수) *
10/23 (목) *
10/24 (금) *
10/25 (토) *
10/26 (일) *
10/27 (월) 2학기 중간 시험종료.
10/28 (화) *
10/29 (수) *
10/30 (목) *
10/31 (금) *
11/01 (토) *
11/02 (일) *
11/03 (월) 이진영 조교님 생일.
11/04 (화) *
11/05 (수) *
11/06 (목) *
11/07 (금) *
11/08 (토) *
11/09 (일) *
11/10 (월) *
11/11 (화) *
11/12 (수) *
11/13 (목) *
11/14 (금) *
11/15 (토) *
11/16 (일) *
11/17 (월) 최광재 조교님 생일.
11/18 (화) *
11/19 (수) *
11/20 (목) *
11/21 (금) *
11/22 (토) *
11/23 (일) *
11/24 (월) *
11/25 (화) *
11/26 (수) *
11/27 (목) *
11/28 (금) *
11/29 (토) *
11/30 (일) *
12/01 (월) *
12/02 (화) *
12/03 (수) *
12/04 (목) *
12/05 (금) *
12/06 (토) *
12/07 (일) *
12/08 (월) *
12/09 (화) *
12/10 (수) *
12/11 (목) *
12/12 (금) *
12/13 (토) *
12/14 (일) *
12/15 (월) 2학기 중간 시험시작.
12/16 (화) *
12/17 (수) *
12/18 (목) *
12/19 (금) 2학기 중간 시험종료 및 2학기 종강.
12/20 (토) *
12/21 (일) *
12/22 (월) *
12/23 (화) *
12/24 (수) *
12/25 (목) # 성탄절.
12/26 (금) *
12/27 (토) *
12/28 (일) *
12/29 (월) 동계방학 시작.
12/30 (화) *
12/31 (수) *
